Time,Topic,Payload
2022-05-16 10:43:05.674860,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:43:05Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.55,""H"":56.90,""rssi"":-55}]}'"
2022-05-16 10:43:05.674860,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:43:05Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.55,""H"":56.90,""rssi"":-55}]}'"
2022-05-16 10:43:35.525720,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:43:35Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.57,""H"":56.87,""rssi"":-58}]}'"
2022-05-16 10:44:05.446153,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:44:04Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.59,""H"":56.82,""rssi"":-57}]}'"
2022-05-16 10:44:05.446153,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:44:04Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.59,""H"":56.82,""rssi"":-57}]}'"
2022-05-16 10:44:34.938966,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:44:33Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.59,""H"":56.81,""rssi"":-56}]}'"
2022-05-16 10:44:34.956225,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:44:33Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.59,""H"":56.81,""rssi"":-56}]}'"
2022-05-16 10:45:04.835649,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:45:04Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.60,""H"":56.69,""rssi"":-58}]}'"
2022-05-16 10:45:05.048793,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:45:04Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.60,""H"":56.69,""rssi"":-58}]}'"
2022-05-16 10:45:34.584024,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:45:33Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.60,""H"":56.70,""rssi"":-55}]}'"
2022-05-16 10:46:05.311013,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:46:04Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.61,""H"":56.71,""rssi"":-56}]}'"
2022-05-16 10:46:19.778352,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:46:19Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.62,""H"":56.73,""rssi"":-57}]}'"
2022-05-16 10:46:58.927122,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:46:58Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.62,""H"":56.80,""rssi"":-56}]}'"
2022-05-16 10:47:28.759980,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:47:28Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.62,""H"":56.73,""rssi"":-57}]}'"
2022-05-16 10:48:23.910905,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:48:23Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.65,""H"":56.98,""rssi"":-60}]}'"
2022-05-16 10:48:33.279478,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:48:32Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.62,""H"":56.91,""rssi"":-56}]}'"
